CAR,TYPE,IN(s),OUT(s),WAIT(s),FLOW(s),能力判断,SEGMENTS
Car#11,C,580.0,2084.5,81.0,1504.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:580.0s 加:56.0s 等前:0.0s 等后:10.5s) | ST2 集约(开:646.5s 加:111.0s 等前:0.0s 等后:32.5s) | ST3 空气悬挂+快充(开:790.0s 加:108.5s 等前:0.0s 等后:12.0s) | ST4 四轮定位上、下(开:910.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:1031.0s 加:107.0s 等前:0.0s 等后:26.0s) | ST6 ARHUD+慢充(开:1164.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:1307.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1422.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1536.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1648.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1648.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1764.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1852.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1937.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:2034.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#12,B,646.5,2134.5,165.0,1488.0,能力超目标：四轮定位上、下,ST1 引取(开:646.5s 加:56.0s 等前:8.5s 等后:2.0s) | ST2 集约(开:704.5s 加:111.0s 等前:0.0s 等后:9.5s) | ST3 空气悬挂+快充(开:825.0s 加:108.5s 等前:0.0s 等后:12.0s) | ST4 四轮定位上、下(开:945.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:1066.0s 加:107.0s 等前:0.0s 等后:23.0s) | ST6 ARHUD+慢充(开:1196.0s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:1310.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1425.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1539.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1651.5s 加:0.0s 等前:0.0s 等后:1.5s) | ST11 气囊安装+绝缘(开:1653.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1769.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1857.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1941.5s 加:97.5s 等前:0.0s 等后:45.5s) | ST15 小跑道(开:2084.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#13,B,704.5,2200.5,173.0,1496.0,能力超目标：四轮定位上、下,ST1 引取(开:704.5s 加:56.0s 等前:8.5s 等后:29.5s) | ST2 集约(开:790.0s 加:111.0s 等前:0.0s 等后:9.5s) | ST3 空气悬挂+快充(开:910.5s 加:108.5s 等前:0.0s 等后:12.0s) | ST4 四轮定位上、下(开:1031.0s 加:120.5s 等前:0.0s 等后:12.5s) | ST5 ADAS(开:1164.0s 加:107.0s 等前:0.0s 等后:36.5s) | ST6 ARHUD+慢充(开:1307.5s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:1422.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1536.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1650.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1763.0s 加:0.0s 等前:0.0s 等后:1.5s) | ST11 气囊安装+绝缘(开:1764.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1880.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1968.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:2053.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:2150.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#14,B,790.0,2250.5,165.0,1460.5,能力超目标：四轮定位上、下,ST1 引取(开:790.0s 加:56.0s 等前:36.0s 等后:0.0s) | ST2 集约(开:846.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:957.0s 加:108.5s 等前:0.0s 等后:0.5s) | ST4 四轮定位上、下(开:1066.0s 加:120.5s 等前:0.0s 等后:9.5s) | ST5 ADAS(开:1196.0s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:1310.5s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:1425.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1539.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1653.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1766.0s 加:0.0s 等前:0.0s 等后:3.0s) | ST11 气囊安装+绝缘(开:1769.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1885.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1973.0s 加:84.5s 等前:0.0s 等后:27.0s) | ST14 电检2(开:2084.5s 加:97.5s 等前:0.0s 等后:18.5s) | ST15 小跑道(开:2200.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#15,C,846.0,2342.5,107.0,1496.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:846.0s 加:56.0s 等前:34.0s 等后:8.5s) | ST2 集约(开:910.5s 加:111.0s 等前:0.0s 等后:9.5s) | ST3 空气悬挂+快充(开:1031.0s 加:108.5s 等前:0.0s 等后:24.5s) | ST4 四轮定位上、下(开:1164.0s 加:120.5s 等前:0.0s 等后:23.0s) | ST5 ADAS(开:1307.5s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:1422.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:1565.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1680.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1794.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1906.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1906.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:2022.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:2110.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:2195.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:2292.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#16,C,910.5,2443.5,150.0,1533.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:910.5s 加:56.0s 等前:40.5s 等后:0.0s) | ST2 集约(开:966.5s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:1077.5s 加:108.5s 等前:0.0s 等后:10.0s) | ST4 四轮定位上、下(开:1196.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:1316.5s 加:107.0s 等前:0.0s 等后:1.5s) | ST6 ARHUD+慢充(开:1425.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:1568.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1683.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1797.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1909.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1909.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:2025.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:2113.5s 加:84.5s 等前:0.0s 等后:2.5s) | ST14 电检2(开:2200.5s 加:97.5s 等前:0.0s 等后:95.5s) | ST15 小跑道(开:2393.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#17,A,966.5,2393.5,604.5,1427.0,能力满足,ST1 引取(开:966.5s 加:55.0s 等前:38.5s 等后:9.5s) | ST2 集约(开:1031.0s 加:106.0s 等前:0.0s 等后:27.0s) | ST3 空气悬挂+快充(开:1164.0s 加:0.0s 等前:0.0s 等后:143.5s) | ST4 四轮定位上、下(开:1307.5s 加:115.0s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:1422.5s 加:97.0s 等前:0.0s 等后:46.0s) | ST6 ARHUD+慢充(开:1565.5s 加:0.0s 等前:0.0s 等后:114.5s) | ST7 转毂(开:1680.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:1796.0s 加:108.0s 等前:0.0s 等后:2.5s) | ST9 EG漏液/底盘漏液(开:1906.5s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:2021.5s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:2119.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:2119.5s 加:0.0s 等前:0.0s 等后:75.5s) | ST13 电检1(开:2195.0s 加:0.0s 等前:0.0s 等后:97.5s) | ST14 电检2(开:2292.5s 加:0.0s 等前:0.0s 等后:50.0s) | ST15 小跑道(开:2342.5s 加:51.0s 等前:0.0s 等后:0.0s)
Car#18,A,1031.0,2494.5,647.5,1463.5,能力满足,ST1 引取(开:1031.0s 加:55.0s 等前:45.0s 等后:0.0s) | ST2 集约(开:1086.0s 加:106.0s 等前:0.0s 等后:4.0s) | ST3 空气悬挂+快充(开:1196.0s 加:0.0s 等前:0.0s 等后:120.5s) | ST4 四轮定位上、下(开:1316.5s 加:115.0s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:1431.5s 加:97.0s 等前:0.0s 等后:40.0s) | ST6 ARHUD+慢充(开:1568.5s 加:0.0s 等前:0.0s 等后:114.5s) | ST7 转毂(开:1683.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:1799.0s 加:108.0s 等前:0.0s 等后:2.5s) | ST9 EG漏液/底盘漏液(开:1909.5s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:2024.5s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:2122.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:2122.5s 加:0.0s 等前:0.0s 等后:78.0s) | ST13 电检1(开:2200.5s 加:0.0s 等前:0.0s 等后:193.0s) | ST14 电检2(开:2393.5s 加:0.0s 等前:0.0s 等后:50.0s) | ST15 小跑道(开:2443.5s 加:51.0s 等前:0.0s 等后:0.0s)
Car#19,C,1086.0,2600.5,133.0,1514.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:1086.0s 加:56.0s 等前:42.0s 等后:22.0s) | ST2 集约(开:1164.0s 加:111.0s 等前:0.0s 等后:32.5s) | ST3 空气悬挂+快充(开:1307.5s 加:108.5s 等前:0.0s 等后:6.5s) | ST4 四轮定位上、下(开:1422.5s 加:120.5s 等前:0.0s 等后:22.5s) | ST5 ADAS(开:1565.5s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:1680.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:1823.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1938.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:2052.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:2164.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:2164.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:2280.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:2368.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:2453.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:2550.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#20,C,1164.0,2650.5,125.0,1486.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:1164.0s 加:56.0s 等前:62.0s 等后:0.0s) | ST2 集约(开:1220.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:1331.0s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:1439.5s 加:120.5s 等前:0.0s 等后:8.5s) | ST5 ADAS(开:1568.5s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:1683.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:1826.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1941.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:2055.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:2167.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:2167.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:2283.5s 加:88.0s 等前:0.0s 等后:22.0s) | ST13 电检1(开:2393.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:2478.0s 加:97.5s 等前:0.0s 等后:25.0s) | ST15 小跑道(开:2600.5s 加:50.0s 等前:0.0s 等后:0.0s)
