CAR,TYPE,IN(s),OUT(s),WAIT(s),FLOW(s),能力判断,SEGMENTS
Car#130,A,8336.5,9837.5,1494.5,1501.0,能力满足,ST1 引取(开:8336.5s 加:55.0s 等前:854.5s 等后:27.5s) | ST2 集约(开:8419.0s 加:106.0s 等前:0.0s 等后:37.5s) | ST3 空气悬挂+快充(开:8562.5s 加:0.0s 等前:0.0s 等后:120.5s) | ST4 四轮定位上、下(开:8683.0s 加:115.0s 等前:0.0s 等后:22.5s) | ST5 ADAS(开:8820.5s 加:97.0s 等前:0.0s 等后:46.5s) | ST6 ARHUD+慢充(开:8964.0s 加:0.0s 等前:0.0s 等后:114.5s) | ST7 转毂(开:9078.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:9194.5s 加:108.0s 等前:0.0s 等后:2.5s) | ST9 EG漏液/底盘漏液(开:9305.0s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9420.0s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9518.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9518.0s 加:0.0s 等前:0.0s 等后:117.5s) | ST13 电检1(开:9635.5s 加:0.0s 等前:0.0s 等后:101.0s) | ST14 电检2(开:9736.5s 加:0.0s 等前:0.0s 等后:50.0s) | ST15 小跑道(开:9786.5s 加:51.0s 等前:0.0s 等后:0.0s)
Car#131,A,8419.0,9736.5,1335.5,1317.5,能力满足,ST1 引取(开:8419.0s 加:55.0s 等前:879.0s 等后:0.0s) | ST2 集约(开:8474.0s 加:106.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:8580.0s 加:0.0s 等前:0.0s 等后:92.0s) | ST4 四轮定位上、下(开:8672.0s 加:115.0s 等前:0.0s 等后:20.5s) | ST5 ADAS(开:8807.5s 加:97.0s 等前:0.0s 等后:17.5s) | ST6 ARHUD+慢充(开:8922.0s 加:0.0s 等前:0.0s 等后:116.0s) | ST7 转毂(开:9038.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:9154.0s 加:108.0s 等前:0.0s 等后:1.5s) | ST9 EG漏液/底盘漏液(开:9263.5s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9378.5s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9476.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9476.5s 加:0.0s 等前:0.0s 等后:58.0s) | ST13 电检1(开:9534.5s 加:0.0s 等前:0.0s 等后:50.0s) | ST14 电检2(开:9584.5s 加:0.0s 等前:0.0s 等后:101.0s) | ST15 小跑道(开:9685.5s 加:51.0s 等前:0.0s 等后:0.0s)
Car#132,B,8474.0,9971.5,1042.0,1497.5,能力超目标：四轮定位上、下,ST1 引取(开:8474.0s 加:56.0s 等前:876.0s 等后:32.5s) | ST2 集约(开:8562.5s 加:111.0s 等前:0.0s 等后:9.5s) | ST3 空气悬挂+快充(开:8683.0s 加:108.5s 等前:0.0s 等后:29.0s) | ST4 四轮定位上、下(开:8820.5s 加:120.5s 等前:0.0s 等后:23.0s) | ST5 ADAS(开:8964.0s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:9078.5s 加:51.5s 等前:0.0s 等后:64.5s) | ST7 转毂(开:9194.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9309.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9423.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9535.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9535.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9651.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:9739.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:9824.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:9921.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#133,C,8562.5,10021.5,942.0,1459.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:8562.5s 加:56.0s 等前:906.5s 等后:0.0s) | ST2 集约(开:8618.5s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:8729.5s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:8838.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:8958.5s 加:107.0s 等前:0.0s 等后:0.0s) | ST6 ARHUD+慢充(开:9065.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:9209.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9323.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9437.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9550.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9550.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9666.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:9754.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:9838.5s 加:97.5s 等前:0.0s 等后:35.5s) | ST15 小跑道(开:9971.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#134,C,8618.5,10115.0,977.5,1496.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:8618.5s 加:56.0s 等前:904.5s 等后:8.5s) | ST2 集约(开:8683.0s 加:111.0s 等前:0.0s 等后:26.5s) | ST3 空气悬挂+快充(开:8820.5s 加:108.5s 等前:0.0s 等后:35.0s) | ST4 四轮定位上、下(开:8964.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9084.5s 加:107.0s 等前:0.0s 等后:3.0s) | ST6 ARHUD+慢充(开:9194.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:9338.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9452.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9566.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9679.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9679.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9795.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:9883.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:9967.5s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:10065.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#135,C,8683.0,10165.0,969.5,1482.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:8683.0s 加:56.0s 等前:911.0s 等后:0.0s) | ST2 集约(开:8739.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:8850.0s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:8958.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9079.0s 加:107.0s 等前:0.0s 等后:23.0s) | ST6 ARHUD+慢充(开:9209.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:9352.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9467.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9581.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9693.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9693.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9809.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:9897.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:9982.0s 加:97.5s 等前:0.0s 等后:35.5s) | ST15 小跑道(开:10115.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#136,B,8739.0,10231.0,1069.5,1492.0,能力超目标：四轮定位上、下,ST1 引取(开:8739.0s 加:56.0s 等前:909.0s 等后:25.5s) | ST2 集约(开:8820.5s 加:111.0s 等前:0.0s 等后:32.5s) | ST3 空气悬挂+快充(开:8964.0s 加:108.5s 等前:0.0s 等后:12.0s) | ST4 四轮定位上、下(开:9084.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9205.0s 加:107.0s 等前:0.0s 等后:26.0s) | ST6 ARHUD+慢充(开:9338.0s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:9452.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9567.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9681.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9793.5s 加:0.0s 等前:0.0s 等后:1.5s) | ST11 气囊安装+绝缘(开:9795.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9911.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:9999.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:10083.5s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:10181.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#137,B,8820.5,10281.0,1061.5,1460.5,能力超目标：四轮定位上、下,ST1 引取(开:8820.5s 加:56.0s 等前:932.5s 等后:0.0s) | ST2 集约(开:8876.5s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:8987.5s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:9096.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9216.5s 加:107.0s 等前:0.0s 等后:29.0s) | ST6 ARHUD+慢充(开:9352.5s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:9467.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9581.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9695.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9808.0s 加:0.0s 等前:0.0s 等后:1.5s) | ST11 气囊安装+绝缘(开:9809.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:9925.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10013.5s 加:84.5s 等前:0.0s 等后:17.0s) | ST14 电检2(开:10115.0s 加:97.5s 等前:0.0s 等后:18.5s) | ST15 小跑道(开:10231.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#138,C,8876.5,10373.0,1003.5,1496.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:8876.5s 加:56.0s 等前:930.5s 等后:31.5s) | ST2 集约(开:8964.0s 加:111.0s 等前:0.0s 等后:9.5s) | ST3 空气悬挂+快充(开:9084.5s 加:108.5s 等前:0.0s 等后:12.0s) | ST4 四轮定位上、下(开:9205.0s 加:120.5s 等前:0.0s 等后:12.5s) | ST5 ADAS(开:9338.0s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:9452.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:9596.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9710.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9824.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9937.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9937.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10053.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10141.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:10225.5s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:10323.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#139,C,8964.0,10423.0,995.5,1459.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:8964.0s 加:56.0s 等前:960.0s 等后:0.0s) | ST2 集约(开:9020.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:9131.0s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:9239.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9360.0s 加:107.0s 等前:0.0s 等后:0.0s) | ST6 ARHUD+慢充(开:9467.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:9610.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9725.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9839.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:9951.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:9951.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10067.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10155.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:10240.0s 加:97.5s 等前:0.0s 等后:35.5s) | ST15 小跑道(开:10373.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#140,C,9020.0,10516.5,1031.0,1496.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:9020.0s 加:56.0s 等前:958.0s 等后:8.5s) | ST2 集约(开:9084.5s 加:111.0s 等前:0.0s 等后:9.5s) | ST3 空气悬挂+快充(开:9205.0s 加:108.5s 等前:0.0s 等后:24.5s) | ST4 四轮定位上、下(开:9338.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9458.5s 加:107.0s 等前:0.0s 等后:30.5s) | ST6 ARHUD+慢充(开:9596.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:9739.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9854.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9968.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10080.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10080.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10196.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10284.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:10369.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:10466.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#141,C,9084.5,10617.5,1074.0,1533.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:9084.5s 加:56.0s 等前:964.5s 等后:0.0s) | ST2 集约(开:9140.5s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:9251.5s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:9360.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9480.5s 加:107.0s 等前:0.0s 等后:23.0s) | ST6 ARHUD+慢充(开:9610.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:9754.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9868.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:9982.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10095.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10095.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10211.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10299.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:10383.5s 加:97.5s 等前:0.0s 等后:86.5s) | ST15 小跑道(开:10567.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#142,A,9140.5,10567.5,1528.5,1427.0,能力满足,ST1 引取(开:9140.5s 加:55.0s 等前:962.5s 等后:9.5s) | ST2 集约(开:9205.0s 加:106.0s 等前:0.0s 等后:27.0s) | ST3 空气悬挂+快充(开:9338.0s 加:0.0s 等前:0.0s 等后:120.5s) | ST4 四轮定位上、下(开:9458.5s 加:115.0s 等前:0.0s 等后:22.5s) | ST5 ADAS(开:9596.0s 加:97.0s 等前:0.0s 等后:46.5s) | ST6 ARHUD+慢充(开:9739.5s 加:0.0s 等前:0.0s 等后:114.5s) | ST7 转毂(开:9854.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:9970.0s 加:108.0s 等前:0.0s 等后:2.5s) | ST9 EG漏液/底盘漏液(开:10080.5s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10195.5s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10293.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10293.5s 加:0.0s 等前:0.0s 等后:75.5s) | ST13 电检1(开:10369.0s 加:0.0s 等前:0.0s 等后:97.5s) | ST14 电检2(开:10466.5s 加:0.0s 等前:0.0s 等后:50.0s) | ST15 小跑道(开:10516.5s 加:51.0s 等前:0.0s 等后:0.0s)
Car#143,B,9205.0,10715.0,1147.5,1510.0,能力超目标：四轮定位上、下,ST1 引取(开:9205.0s 加:56.0s 等前:969.0s 等后:0.0s) | ST2 集约(开:9261.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:9372.0s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:9480.5s 加:120.5s 等前:0.0s 等后:9.5s) | ST5 ADAS(开:9610.5s 加:107.0s 等前:0.0s 等后:36.5s) | ST6 ARHUD+慢充(开:9754.0s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:9868.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:9983.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:10097.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10209.5s 加:0.0s 等前:0.0s 等后:1.5s) | ST11 气囊安装+绝缘(开:10211.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10327.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10415.0s 加:84.5s 等前:0.0s 等后:68.0s) | ST14 电检2(开:10567.5s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:10665.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#144,B,9261.0,10765.0,1139.5,1504.0,能力超目标：四轮定位上、下,ST1 引取(开:9261.0s 加:56.0s 等前:967.0s 等后:21.0s) | ST2 集约(开:9338.0s 加:111.0s 等前:0.0s 等后:9.5s) | ST3 空气悬挂+快充(开:9458.5s 加:108.5s 等前:0.0s 等后:29.0s) | ST4 四轮定位上、下(开:9596.0s 加:120.5s 等前:0.0s 等后:23.0s) | ST5 ADAS(开:9739.5s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:9854.0s 加:51.5s 等前:0.0s 等后:64.5s) | ST7 转毂(开:9970.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:10084.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:10198.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10311.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10311.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10427.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10515.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:10599.5s 加:97.5s 等前:0.0s 等后:18.0s) | ST15 小跑道(开:10715.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#145,B,9338.0,10866.0,1182.5,1528.0,能力超目标：四轮定位上、下,ST1 引取(开:9338.0s 加:56.0s 等前:986.0s 等后:0.0s) | ST2 集约(开:9394.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:9505.0s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:9613.5s 加:120.5s 等前:0.0s 等后:20.0s) | ST5 ADAS(开:9754.0s 加:107.0s 等前:0.0s 等后:7.5s) | ST6 ARHUD+慢充(开:9868.5s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:9983.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:10097.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:10211.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10324.0s 加:0.0s 等前:0.0s 等后:3.0s) | ST11 气囊安装+绝缘(开:10327.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10443.0s 加:88.0s 等前:0.0s 等后:36.5s) | ST13 电检1(开:10567.5s 加:84.5s 等前:0.0s 等后:13.0s) | ST14 电检2(开:10665.0s 加:97.5s 等前:0.0s 等后:53.5s) | ST15 小跑道(开:10816.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#146,A,9394.0,10816.0,1545.0,1422.0,能力满足,ST1 引取(开:9394.0s 加:55.0s 等前:984.0s 等后:9.5s) | ST2 集约(开:9458.5s 加:106.0s 等前:0.0s 等后:31.5s) | ST3 空气悬挂+快充(开:9596.0s 加:0.0s 等前:0.0s 等后:143.5s) | ST4 四轮定位上、下(开:9739.5s 加:115.0s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9854.5s 加:97.0s 等前:0.0s 等后:18.5s) | ST6 ARHUD+慢充(开:9970.0s 加:0.0s 等前:0.0s 等后:114.5s) | ST7 转毂(开:10084.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:10200.5s 加:108.0s 等前:0.0s 等后:2.5s) | ST9 EG漏液/底盘漏液(开:10311.0s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10426.0s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10524.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10524.0s 加:0.0s 等前:0.0s 等后:75.5s) | ST13 电检1(开:10599.5s 加:0.0s 等前:0.0s 等后:115.5s) | ST14 电检2(开:10715.0s 加:0.0s 等前:0.0s 等后:50.0s) | ST15 小跑道(开:10765.0s 加:51.0s 等前:0.0s 等后:0.0s)
Car#147,C,9458.5,10963.5,1072.0,1505.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:9458.5s 加:56.0s 等前:990.5s 等后:0.0s) | ST2 集约(开:9514.5s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:9625.5s 加:108.5s 等前:0.0s 等后:20.0s) | ST4 四轮定位上、下(开:9754.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9874.5s 加:107.0s 等前:0.0s 等后:1.5s) | ST6 ARHUD+慢充(开:9983.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:10126.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:10241.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:10355.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10467.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10467.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10583.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10671.5s 加:84.5s 等前:0.0s 等后:60.0s) | ST14 电检2(开:10816.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:10913.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#148,C,9514.5,11013.5,1064.0,1499.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:9514.5s 加:56.0s 等前:988.5s 等后:25.5s) | ST2 集约(开:9596.0s 加:111.0s 等前:0.0s 等后:32.5s) | ST3 空气悬挂+快充(开:9739.5s 加:108.5s 等前:0.0s 等后:6.5s) | ST4 四轮定位上、下(开:9854.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9975.0s 加:107.0s 等前:0.0s 等后:2.5s) | ST6 ARHUD+慢充(开:10084.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:10228.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:10342.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:10456.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10569.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10569.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10685.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:10773.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:10857.5s 加:97.5s 等前:0.0s 等后:8.5s) | ST15 小跑道(开:10963.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#149,C,9596.0,11114.5,1107.0,1518.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:9596.0s 加:56.0s 等前:1012.0s 等后:0.0s) | ST2 集约(开:9652.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:9763.0s 加:108.5s 等前:0.0s 等后:3.0s) | ST4 四轮定位上、下(开:9874.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:9995.0s 加:107.0s 等前:0.0s 等后:24.5s) | ST6 ARHUD+慢充(开:10126.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:10270.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:10384.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:10498.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:10611.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:10611.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:10727.0s 加:88.0s 等前:0.0s 等后:1.0s) | ST13 电检1(开:10816.0s 加:84.5s 等前:0.0s 等后:13.0s) | ST14 电检2(开:10913.5s 加:97.5s 等前:0.0s 等后:53.5s) | ST15 小跑道(开:11064.5s 加:50.0s 等前:0.0s 等后:0.0s)
